,STATE,STCOFIPS,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXP_A,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_N,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,HRCN_RISK_CATEGORY_QUANTILE,ZIP,3ZIP
208,Florida,12083,54.0,0.247758700041,1679.44755381,56231391954.4,375558.46568,4356478201890.0,166784697.049,4412876378540.0,0.004626432,2.1e-06,0.043257821,Relatively High,65015443.4705,0.196930472045,2284393.47572,1789285.85179,69089122.798,96.8871595331,Relatively High,0.00115618862733,5.24356497e-07,0.0107261575038,87.5918720277,89510327.0576,97.2633467923,Relatively High,Very High,34482,344
209,Florida,12085,53.0,0.317372360159,577.950721436,29322861584.4,158245.380272,1835646411160.0,128192302.357,1865097465040.0,0.012215502,9.48e-06,0.046023685,Very High,111709417.585,0.467129668218,5418704.15133,1796427.89557,118924549.632,98.270644185,Relatively High,0.00380961745669,2.951920859e-06,0.0139156303843,94.8984003459,131705589.683,98.1606101391,Relatively High,Very High,34958,349
210,Florida,12086,62.0,0.321119522969,2012.21604492,319563930646.0,2698638.63227,31304208134300.0,957966933.331,31624730031900.0,0.007857425,9.48e-06,0.014778741,Relatively High,739709650.534,7.55002890778,87580335.3302,4451566.42897,831741552.293,99.8702983139,Very High,0.00231467109063,2.797675792e-06,0.00463285223963,92.8231733679,1133826280.63,99.9551368327,Very High,Very High,33015,330
211,Florida,12087,95.0,0.645426974991,1189.53627686,18079139392.0,82382.0302161,955631550507.0,4513371.0,973715203270.0,0.018944604,9.48e-06,0.068037577,Very High,89520737.6832,0.205706572874,2386196.24534,87936.7805515,91994870.7091,97.6221357544,Relatively High,0.00495114849625,2.496741994e-06,0.0194836144761,98.5300475573,115539473.561,97.9362943024,Relatively High,Very High,33037,330
212,Florida,12089,53.0,0.296964982873,664.109014893,14186828540.9,90121.7330948,1045412103900.0,14772357.0,1059613704800.0,0.003937527,2.3e-06,0.016903177,Relatively High,17346475.6322,0.0633211715412,734525.589878,70764.8032491,18151766.0253,90.3156074362,Relatively Moderate,0.00122270662319,7.02608341e-07,0.00479035290368,87.635105923,18481068.7645,90.5338716913,Relatively Moderate,Very High,32046,320
213,Florida,12091,46.0,0.249408300846,958.535258788,35973904418.0,211292.596951,2450994124630.0,9553076.0,2486977582130.0,0.015218106,9.48e-06,0.04539033,Very High,139828647.041,0.50772234123,5889579.15826,102823.268494,145821049.468,98.7894509295,Relatively High,0.00388694424401,2.40293025e-06,0.0107633675786,94.8551664505,166595324.719,98.6989681472,Relatively High,Very High,32539,325
214,Florida,12093,49.0,0.296678199618,791.037923582,6060848246.62,39453.4323773,457659815576.0,270560620.063,463991224443.0,0.006941697,1.99e-06,0.061680865,Relatively High,12842633.6033,0.0239247517477,277527.120273,4902317.39028,18022478.1138,90.1859057501,Relatively Moderate,0.00211891376826,6.06380731e-07,0.0181176539796,93.5149156939,26590863.1137,92.9564827277,Relatively Moderate,Very High,34972,349
215,Florida,12095,45.0,0.241912084833,981.385869142,232459872890.0,1428656.94494,16572420561300.0,266063973.0,16805146498100.0,0.002928063,2.06e-06,0.013668058,Relatively Moderate,163318297.529,0.705958924559,8189123.52488,883846.341076,172391267.394,98.962386511,Relatively High,0.000702533862349,4.94095651e-07,0.00332193168098,83.5711197579,211501591.462,99.0578734859,Relatively High,Very High,32792,327
216,Florida,12097,59.0,0.257515610482,1521.18097326,50454733143.6,387741.325859,4497799379960.0,97975264.4943,4548352088370.0,0.003658391,2.06e-06,0.015645053,Relatively Moderate,44648185.3253,0.193160716574,2240664.31226,397009.342871,47285858.9804,95.7630782534,Relatively High,0.000884860941862,4.9810007e-07,0.00405137602382,85.4734111543,62896953.0833,96.4109466128,Relatively High,Very High,34742,347
217,Florida,12099,70.0,0.330681424655,2006.36242676,238563730752.0,1489405.23174,17277100688200.0,971442915.867,17516635861900.0,0.00979943,9.48e-06,0.016903177,Very High,802168974.756,4.86569387155,56442048.9099,5199872.98926,863810896.655,99.9135322093,Very High,0.00336243567693,3.266748086e-06,0.00502740299755,94.5957630783,1017083783.98,99.865410498,Very High,Very High,33488,334
